"Parcelle","ordre_extraction","ordre_BMM","Projet","BMM µg/g_sol_E1","BMM µg/g_sol_E2","Moy E1_E2","N° Laboratoire","N° FR","Argile (déc) (o/oo) g/kg","Limon Fin (déc) (o/oo) g/kg","Limon Grossier (déc) (o/oo) g/kg","Sable Fin (déc) (o/oo) g/kg","Sable Grossier (déc) (o/oo) g/kg","pH eau -","Carbonates totaux g/kg","Carb. organique (o/oo) g/kg","Matière organique (o/oo) g/kg","Azote total (o/oo) g/kg","C/N -","P2O5 Olsen (o/oo) g/kg","Cu DTPA mg/kg","Zn DTPA mg/kg","Ni DTPA mg/kg","Cu total ER (mg/Kg)","Ni total ER (mg/Kg)","Pb total ER (mg/Kg)","Zn total ER (mg/Kg)","Ecole","Age","Habitat","Nb arbres","Occ_Nat","Occ_Ag","Occ_Ugs","Occ_eq","Occ_Tud","Occ_Tuc","P_Nat","P_Ag","P_Ugs","P_eq","P_Tud","P_Tuc","SHI","Temps","Ganivelles","Emplacement","Enfantsparm2","Surface","Argile","Limon","Sable","MO","N_Tot","Cu","Ni","Pb","Zn"
"CpPl_15Gal",33,7,"ECOLE",47.4618962606756,39.5498731117269,43.5058846862012,"T-02481-24","WW 847915",382,136,99.2,172,211,8.4,509,46.1,79.8,4,11.6,0.12,5.7,13.6,0.57,31.7,17,30.2,77.7,"Galilee",2022,"CpPl",3,0.194,0.043,0.034,0.134,0.508,0.087,3,3,7,7,8,1,1.39410384698194,2,0,0,14.5,40.6,382,235.2,383,79.8,4,31.7,17,30.2,77.7
"CpPl_16Gal",11,4,"ECOLE",49.9994880058043,48.5796925396625,49.2895902727334,"T-02482-24","WW 847917",379,145,101,194,182,8.3,529,30.2,52.2,3,10.1,0.099,7.8,12.3,0.47,34.5,17,27.3,71.6,"Galilee",2022,"CpPl",3,0.194,0.043,0.034,0.134,0.508,0.087,3,3,7,7,8,1,1.39410384698194,2,0,1,14.5,52.7,379,246,376,52.2,3,34.5,17,27.3,71.6
"CpPl_17Lou",47,15,"ECOLE",50.2791132762232,51.9546585787513,51.1168859274872,"T-02483-24","WW 847919",351,142,149,189,169,8.5,333,21.2,36.7,2,10.6,0.05,9.8,3.3,0.32,40.3,18.5,24,56.5,"Lou Planas",2022,"CpPl",2,0.234,0.091,0.009,0.065,0.592,0.009,3,3,4,4,3,2,1.13109457788768,2,1,0,11.7,59.4,351,291,358,36.7,2,40.3,18.5,24,56.5
"CpPl_21Lou",26,52,"ECOLE",42.122489639978,41.11766310228,41.620076371129,"T-02487-24","WW 847927",306,133,119,191,250,8.4,118,19.4,33.5,1.5,13.3,0.043,15.1,4.1,0.4,53.2,22.2,31.1,64.5,"Lou Planas",2022,"CpPl",3,0.234,0.091,0.009,0.065,0.592,0.009,3,3,4,4,3,2,1.13109457788768,2,1,1,11.7,89.2,306,252,441,33.5,1.5,53.2,22.2,31.1,64.5
"CpPl_23Lou",14,44,"ECOLE",22.2294492462515,27.0374565724767,24.6334529093641,"T-02489-24","WW 847931",340,158,145,212,145,8.3,320,20,34.6,1.3,15.6,0.055,15.3,3.4,0.54,43,21.2,24.2,57.5,"Lou Planas",2022,"CpPl",2,0.234,0.091,0.009,0.065,0.592,0.009,3,3,4,4,3,2,1.13109457788768,2,0,0,11.7,34.9,340,303,357,34.6,1.3,43,21.2,24.2,57.5
"CpPl_24Rob",66,24,"ECOLE",22.8106654021707,27.6414365068845,25.2260509545276,"T-02490-24","WW 847933",341,157,146,219,138,8.4,374,19,33,1.4,14.1,0.051,9.5,3.4,0.35,33.2,17.4,22.3,50.3,"Robinson",2022,"CpPl",2,0.234,0.058,0.021,0.062,0.625,0.001,4,3,7,5,3,2,1.05548637764536,2,1,1,16,53,341,303,357,33,1.4,33.2,17.4,22.3,50.3
"CpPl_26Rob",41,48,"ECOLE",30.3613598033731,32.8052399095249,31.583299856449,"T-02492-24","WW 847937",349,157,150,192,152,8.4,348,23.2,40.2,1.6,14.7,0.049,14.2,6.2,0.62,38.7,18.6,22.3,62.5,"Robinson",2022,"CpPl",2,0.234,0.058,0.021,0.062,0.625,0.001,4,3,7,5,3,2,1.05548637764536,2,1,1,16,48.6,349,307,344,40.2,1.6,38.7,18.6,22.3,62.5
"CpPl_37Sib",31,61,"ECOLE",46.4783254059354,51.8757074494877,49.1770164277115,"T-02503-24","WW 847959",212,96.3,111,188,393,8.5,267,17.9,31,1.6,11.1,0.041,14.7,5.5,0.41,43.1,13.4,63.4,71.5,"Sibelius",2023,"CpUt",2,0.007,0,0.008,0.352,0.562,0.071,1,0,2,9,7,5,0.953114413189359,1,0,1,7.4,66.9,212,207.3,581,31,1.6,43.1,13.4,63.4,71.5
"CpPl_38Hei",28,39,"ECOLE",49.2912646199016,52.0031661155747,50.6472153677382,"T-02504-24","WW 847961",238,107,109,230,316,8.4,334,21.6,37.4,1.8,11.8,0.058,12.5,8.1,0.4,40.1,14.9,61.5,91.8,"Heidelberg",2023,"CpUt",1,0.144,0,0.062,0.34,0.423,0.03,3,0,3,6,4,2,1.28907461737659,1,0,1,7.5,53.27,238,216,546,37.4,1.8,40.1,14.9,61.5,91.8
"CpPl_40Dic",49,5,"ECOLE",28.4958091055998,39.6444859826792,34.0701475441395,"T-02505-24","WW 847963",198,99.4,104,184,415,8.4,281,18.8,32.6,1.7,10.9,0.045,14.4,6.3,0.39,44.7,13.1,58,52.9,"Dickens",2023,"CpPl",3,0,0.004,0.059,0.111,0.753,0.072,0,1,6,10,8,9,0.838810642019276,1,0,0,5.3,52.07,198,203.4,599,32.6,1.7,44.7,13.1,58,52.9
